alice.martin,rocknroll,Alice Martin,alice.martin@securenet.com,Direction,1gb,ubuntu
bob.durand,rocknroll,Bob Durand,bob.durand@securenet.com,Direction,1gb,ubuntu
charlie.dev,rocknroll,Charlie Dev,charlie.dev@securenet.com,Developpement,1gb,ubuntu
diana.code,rocknroll,Diana Code,diana.code@securenet.com,Developpement,1gb,ubuntu
ethan.tech,rocknroll,Ethan Tech,ethan.tech@securenet.com,Developpement,1gb,ubuntu
fiona.web,rocknroll,Fiona Web,fiona.web@securenet.com,Developpement,1gb,ubuntu
greg.mobile,rocknroll,Greg Mobile,greg.mobile@securenet.com,Developpement,1gb,ubuntu
hannah.prof,rocknroll,Hannah Prof,hannah.prof@securenet.com,Pedagogie,1gb,ubuntu
ivan.teach,rocknroll,Ivan Teach,ivan.teach@securenet.com,Pedagogie,1gb,ubuntu
julia.learn,rocknroll,Julia Learn,julia.learn@securenet.com,Pedagogie,1gb,ubuntu
kevin.edu,rocknroll,Kevin Edu,kevin.edu@securenet.com,Pedagogie,1gb,ubuntu
laura.market,rocknroll,Laura Market,laura.market@securenet.com,Marketing,1gb,ubuntu
michael.sales,rocknroll,Michael Sales,michael.sales@securenet.com,Marketing,1gb,ubuntu
nina.comm,rocknroll,Nina Comm,nina.comm@securenet.com,Marketing,1gb,ubuntu
oscar.help,rocknroll,Oscar Help,oscar.help@securenet.com,Support,1gb,ubuntu
